time	Sox9	Tgfb1	Tgfbr2	Cebpa	Tgfb2
14.5	1.23578087	0	1.16879202	0.866877814	0
14.5	1.690727544	0	1.577031986	0	1.074816441
14.5	2.269022335	0	0.11058971	1.32159843	0.682145076
14.5	0.661812686	0	1.754806855	0	0
14.5	1.018284308	0	1.779091204	0	0
14.5	1.16790781	0	0.44870632	1.020775488	0
14.5	1.249687428	0	2.026737494	1.492620722	0
14.5	0.482873584	0	1.220631019	1.086003706	0
14.5	0	0	1.847140617	1.830267801	0
14.5	2.166814799	0	0.924279286	1.173768823	0
14.5	1.845346137	1.20709554	0.133538908	1.302114377	0.136720567
14.5	1.379486814	0	0	1.049218023	0
14.5	0.10720997	0	0.988558957	1.410102077	0
14.5	0	0	0.748188027	0.69019608	0
14.5	0	0	0	1.435207103	0
14.5	0	0	1.130333768	1.19838213	0
14.5	0	0	1.484869033	1.191171456	0
14.5	0	0	0.264817823	1.461648568	0
14.5	2.163459552	0	0	0	0
14.5	1.933183479	0	0.948412966	0	0
14.5	2.050650381	0.501059262	0	0	0
15.5	1.894205259	0	0	0	0
15.5	2.048830087	0	1.194791758	1.303627976	0
15.5	0.787460475	0	1.39880773	1.602927713	0
15.5	2.24137213	0	1.583198774	0.187520721	0
15.5	2.243608461	0	1.256717746	1.378579576	0
15.5	2.597640347	0	1.096214585	1.523356207	1.2509077
15.5	2.042378598	0	1.684486292	1.775901579	0
15.5	0.899820502	0	0.978636948	1.133858125	0.120573931
15.5	0	0	1.686010291	1.62930764	0
15.5	0	0	1.122215878	1.019531685	0
15.5	0	0	1.611404638	1.493179121	0
15.5	0.123851641	0	1.15075644	1.430880946	0
15.5	2.274180949	0	1.585347911	0	0
15.5	2.031691169	0	0	1.02489596	0
15.5	0	0	0.537819095	0.346352974	0
15.5	0.103803721	0	1.063333359	1.429590802	0
15.5	0	0	0.992995098	1.049605613	0
15.5	0.839478047	0	0	1.668665415	0
15.5	0	0	1.445759836	1.338655666	0
15.5	1.820004307	0	1.035829825	0.862727528	0
15.5	0.11058971	0	0.178976947	1.528402438	0
15.5	0	0	0	0	0
15.5	0	0	1.377488383	1.401745082	0
15.5	1.829175074	0	1.104145551	0	0
15.5	1.619719266	0	1.099335278	1.509471352	0
15.5	0	0	0.840733235	1.66238002	0
15.5	0	0	0.913283902	1.716670976	0
15.5	2.381024781	0	0.615950052	1.357934847	0
15.5	2.279347492	0	0	1.350441857	0
15.5	2.32756326	0	0	0.904715545	0
15.5	1.888123307	0	0	0	1.182984967
15.5	2.529443188	0	0	1.298197867	0
